rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
55,modified,0.1,0.25,7.514889641583598,0.3,0.8406165764042708,0.07926081013130512,0.07926081013130512,0.06677235453989531,0.0,142,False,0.07042253521126761
56,modified,0.1,0.25,8.433484461424223,0.2,0.79756141650467,0.08359119113807292,0.08359119113807292,0.05976178950479314,0.0,137,False,0.072992700729927
57,modified,0.1,0.25,9.832056882984114,0.5,0.8095820789410517,-0.09862321194398231,-0.09862321194398231,0.06198954693139993,0.0,147,False,0.06802721088435375
58,modified,0.1,0.25,12.683078272887062,0.3,0.7327026961557407,-0.21103186577150562,-0.18668549028279716,0.05407862908699464,0.0,135,False,0.07407407407407407
59,modified,0.1,0.25,8.037560050358794,0.4,0.8575200332812993,-0.11431171768983753,-0.09250511212005023,0.07161048923007655,0.0,151,False,0.06622516556291391
60,modified,0.1,0.25,11.488931327034098,0.2,0.7993450995691549,0.32687827101770955,0.32687827101770955,0.059206929693692525,0.0,141,False,0.07092198581560284
61,modified,0.1,0.25,13.334760877239956,0.8,0.8242319484584206,0.03241938339712316,0.03241938339712316,0.06186961421561739,0.0,146,False,0.0684931506849315
62,modified,0.1,0.25,7.835716323080975,0.1,0.8674161887506318,-0.09962064735636661,-0.09962064735636661,0.07186550156094215,0.0,155,False,0.06451612903225806
63,modified,0.1,0.25,13.822157860398008,0.4,0.6808195273935098,-0.07956922292384619,-0.07956922292384619,0.04482415813043189,0.0,135,False,0.07407407407407407
64,modified,0.1,0.25,12.387541071875757,0.4,0.7847971316329156,0.31444205419228594,0.31444205419228594,0.06080065675292416,0.0,143,False,0.0625
65,modified,0.1,0.25,14.767734077605072,0.1,0.8314093661767483,-0.003233038283095624,-0.003233038283095624,0.06506898576679365,0.0,152,False,0.06578947368421052
66,modified,0.1,0.25,10.452935803286778,0.2,0.7893162168513119,0.05613097816333046,0.05613097816333046,0.05884519055048051,0.0,142,False,0.07042253521126761
67,modified,0.1,0.25,8.61905140565553,0.3,0.7881893574367165,0.019602900263881406,0.019602900263881406,0.05997081370152606,0.0,148,False,0.06756756756756757
68,modified,0.1,0.25,10.12029203732016,0.5,0.8973933789366291,-0.27960251336533903,-0.27960251336533903,0.0729326021456648,0.0,150,False,0.06666666666666667
69,modified,0.1,0.25,8.117211081221052,0.3,0.771840314723961,-0.19580696023616762,-0.174867367520527,0.05635481653925158,0.0,153,False,0.06535947712418301
70,modified,0.1,0.25,12.335323197827204,0.4,0.7431203589017479,-0.07311091518777359,-0.07311091518777359,0.05107828264603296,0.0,151,False,0.06622516556291391
71,modified,0.1,0.25,11.680875152071305,0.3,0.738793390417926,0.1948658917150871,0.1948658917150871,0.0555327004814822,0.0,151,False,0.05921052631578947
72,modified,0.1,0.25,8.379995771895832,0.4,0.8204330548347549,0.13180938553831884,0.14909104218240254,0.0654806267116278,0.0,152,False,0.06578947368421052
73,modified,0.1,0.25,14.470257460699742,0.6,0.767449564153249,0.1379418540839858,0.1379418540839858,0.05503029595099891,0.0,144,False,0.06944444444444445
74,modified,0.1,0.25,12.396613108901334,0.3,0.8007189283692048,0.042125973970250065,0.0657947152127933,0.06377654134365697,0.0,149,False,0.06711409395973154
75,modified,0.1,0.25,7.700337417323883,0.4,0.7910809087380732,0.04029612528186951,0.04029612528186951,0.062487030988897276,0.0,146,False,0.0684931506849315
76,modified,0.1,0.25,12.734685716988945,0.3,0.8560755701651763,-0.03534681777332643,-0.03534681777332643,0.06824514705988297,0.0,148,False,0.06756756756756757
77,modified,0.1,0.25,10.145716291697468,0.2,0.7900156935936462,0.08321074295524053,0.08321074295524053,0.059286761866299095,0.0,141,False,0.07092198581560284
78,modified,0.1,0.25,7.9751258264508635,0.4,0.8563692396537608,-0.10242053083168282,-0.10242053083168282,0.07013342226446279,0.0,153,False,0.06535947712418301
79,modified,0.1,0.25,10.469170067018478,0.2,0.7851074693066111,0.17761834546058186,0.17761834546058186,0.060154856151286615,0.0,141,False,0.06338028169014084
80,modified,0.1,0.25,13.199251430719416,0.3,0.7633183645875196,-0.191669657069384,-0.191669657069384,0.054830969400795126,0.0,134,False,0.07462686567164178
81,modified,0.1,0.25,15.100150879057459,0.5,0.7920330893409949,0.02131701518611141,0.02131701518611141,0.05780178317300264,0.0,145,False,0.06896551724137931
82,modified,0.1,0.25,9.507793184670142,0.3,0.7587343732771622,0.06063297806236985,0.06063297806236985,0.056450052742090195,0.0,155,False,0.057692307692307696
83,modified,0.1,0.25,9.249996691634268,0.4,0.7692102869077354,0.0758084536468057,0.0758084536468057,0.055869004147920384,0.0,151,False,0.06622516556291391
84,modified,0.1,0.25,12.392625453590968,0.3,0.7868783438040706,0.1298120015417633,0.1298120015417633,0.05681148268924484,0.0,137,False,0.072992700729927
85,modified,0.1,0.25,10.46839516333853,0.5,0.859785548357628,0.2163413679682284,0.2163413679682284,0.06844902125361005,0.0,146,False,0.0684931506849315
86,modified,0.1,0.25,9.755463452663486,0.3,0.7906103048252878,0.2596672882294336,0.2596672882294336,0.0619416851042635,0.0,157,False,0.056962025316455694
87,modified,0.1,0.25,11.374911816313539,0.3,0.8392030505941547,-0.23143767696740686,-0.23143767696740686,0.06371647400154033,0.0,145,False,0.06896551724137931
88,modified,0.1,0.25,10.616012040346945,0.2,0.8224444246659066,0.21447798336404097,0.21447798336404097,0.06313182174688692,0.0,148,False,0.06756756756756757
89,modified,0.1,0.25,11.792108942017276,0.4,0.8242847227189616,-0.20062204624377636,-0.20062204624377636,0.06513232253870854,0.0,151,False,0.06622516556291391
90,modified,0.1,0.25,13.479904270637883,0.4,0.7735416915546377,-0.15621952367998687,-0.15621952367998687,0.05620225980278408,0.0,140,False,0.07142857142857142
91,modified,0.1,0.25,10.225090914045959,0.5,0.7560220320782374,0.17012210595555438,0.19132825448001972,0.05487914763148492,0.0,146,False,0.0684931506849315
92,modified,0.1,0.25,10.363367072707257,0.7,0.8305943629603991,0.23901924198287175,0.23901924198287175,0.0637384954132286,0.0,149,False,0.06711409395973154
93,modified,0.1,0.25,10.045600187188356,0.2,0.7346216284725237,0.09548521536999677,0.09548521536999677,0.05098066743485953,0.0,142,False,0.07042253521126761
94,modified,0.1,0.25,8.399499644601436,0.6,0.8375783150848379,0.009009552222707096,0.009009552222707096,0.06487096261705391,0.0,147,False,0.06802721088435375
95,modified,0.1,0.25,8.647203648680932,0.2,0.686818921467504,-0.023148458376537607,-0.023148458376537607,0.04477204694289458,0.0,147,False,0.060810810810810814
96,modified,0.1,0.25,6.747146885497593,0.4,0.7586748310667403,-0.3274305185798121,-0.3274305185798121,0.05428722173249314,0.0,155,False,0.06451612903225806
97,modified,0.1,0.25,10.731560470189875,0.4,0.8909088690906909,-0.06020252364220284,-0.06020252364220284,0.07307965631307659,0.0,160,False,0.0625
